Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	kwv9				0	# Introduction to 3 John\n\n## Part 1: General Introduction\n\n### Outline of the book of 3 John\n\n1. Introduction (1:1)\n2. Encouragement and instructions to show hospitality (1:2–8)\n3. Condemnation of Diotrephes (1:9–10)\n4. Instructions to imitate what is good (1:11)\n5. Praise for Demetrius (1:12)\n6. Conclusion and greetings (1:13–15)\n\n### Who wrote the book of 3 John?\n\nThe letter does not give the name of the author. The author only identified himself as **The elder** (1:1). The letter was probably written by the apostle John near the end of his life, after he had written the Gospel of John and the letters 1 John and 2 John.\n\n### What is the book of 3 John about?\n\nJohn wrote this letter to a believer named Gaius. He instructed Gaius to be hospitable and helpful to fellow believers who were traveling through his area. These were probably groups of traveling Christian preachers and teachers. John also warned Gaius about a bad leader in the church there named Diotrephes and commended a good leader there named Demetrius.\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by its traditional title, “3 John” or “Third John.” Or they may choose a clearer title, such as “The Third Letter from John” or “The Third Letter John Wrote”. (See: [[rc://*/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What is hospitality?\n\nHospitality was an important concept in the ancient Near East. It was important to be friendly towards foreigners or outsiders and provide help to them if they needed it. In 2 John, John discouraged Christians from showing hospitality to false teachers. In 3 John, John encouraged Christians to show hospitality to faithful teachers.\n\n## Part 3: Important Translation Issues\n\n### How does the author use family relationships in his letter?\n\nThe author used the terms **brother** and **children** in a way that can be confusing. The Old Testament scriptures often used the term **brothers** to refer to fellow Jews. But in this letter, John used the word to refer to fellow Christians. Also, John called some believers his **children**. He meant this in a spiritual sense; these were believers whom he had taught to obey Christ.\n\nJohn also used the term **Gentile** in a way that could be confusing. The scriptures often used the term **Gentile** to refer to people who are not Jews. But in this letter, John used the word to refer to those who did not believe in Jesus.\n\n### Which form of “you” occurs in this letter?\n\nThis is a personal letter from John to his friend Gaius. All instances of **you** and **your** in this letter refer to Gaius and are singular.\n\n### How can I translate verses 6-7 in a logical order?\n\nVerse 7 provides the reason for the action that John recommends in verse 6. In some languages, it is more natural to state the reason first, and the action afterwards. If this would be more natural in your language, you can reverse the order of the sentences and then combine the verse numbers. (See: [[rc://*/ta/man/translate/translate-versebridge]]) \n\n\nFor the ULT, reversing the sentences would look like this:\n\n6-7\nthe ones having borne witness to your love in the presence of the church. These people went out for the sake of the name, receiving nothing from the Gentiles. Therefore, you will do well to send them on in a manner worthy of God.
1:1	w99t		rc://*/ta/man/translate/figs-explicit	ὁ πρεσβύτερος	1	**The elder** refers to John, the apostle and disciple of Jesus. He refers to himself as the **elder** either because of his old age or because he is a leader in the church or both, since both were true. If possible, use a word in your language that can refer to both old age and church leadership. If it would be helpful in your language, the name of the author can be made explicit. Alternate translation: “I, John the elder, am writing”
1:1	lls6		rc://*/ta/man/translate/translate-names	Γαΐῳ	1	**Gaius** is a man, a fellow believer to whom John is writing this letter.
1:1	kpbl		rc://*/ta/man/translate/figs-abstractnouns	ὃν ἐγὼ ἀγαπῶ ἐν ἀληθείᾳ	1	If your language does not use an abstract noun for the idea of **truth**, you could express the same idea in another way. Alternate translation: “whom I love sincerely”
1:2	i269		rc://*/ta/man/translate/figs-synecdoche	καθὼς εὐοδοῦταί σου ἡ ψυχή	1	John is using one part of Gaius, his **soul**, to mean all of him in a spiritual perspective. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “just as you are doing well spiritually”
1:3	f6yt		rc://*/ta/man/translate/grammar-connect-logic-result	γὰρ	1	The word translated as **For** indicates that what follows is a reason for what came before. Use a connector in your language that makes it clear that what follows is a reason for what came before. Alternate translation: “I know that your soul prospers because” 
1:3	b4zh		rc://*/ta/man/translate/figs-metaphor	ἐρχομένων ἀδελφῶν	1	John is using the term **brothers** to mean people who share the same faith. If it would be helpful in your language, you could state the meaning plainly. In this case, these **brothers** were probably all male. Alternate translation: “when fellow believers were coming”
1:3	mexh		rc://*/ta/man/translate/figs-explicit	καὶ μαρτυρούντων 	1	John assumes that Gaius will understand that **the brothers** who came were the ones **testifying** about Gaius. You could include this information if that would be helpful to your readers. Alternate translation: “who testified to” or “who reported to me about”
1:3	y7q3		rc://*/ta/man/translate/figs-metaphor	σὺ ἐν ἀληθείᾳ περιπατεῖς	1	Here, **walking** on a path is a metaphor for how a person lives his life. Alternate translation: “you are living your life according to God’s truth”
1:3	k1jl		rc://*/ta/man/translate/figs-abstractnouns	ἀληθείᾳ & ἀληθείᾳ	1	If your language does not use an abstract noun for the idea of **truth**, you could express the same idea in another way, as in the UST. 
